barrier,block
barrier,cycle_barrier
barrier,debris
barrier,full-height_turnstile
barrier,gate
barrier,sliding_gate
barrier,hampshire_gate
barrier,horse_stile
barrier,kissing_gate
barrier,bump_gate
barrier,bus_trap
barrier,sliding_beam
barrier,spikes
barrier,stile
barrier,sump_buster
barrier,swing_gate
barrier,turnstile
barrier,wicket_gate
barrier,planter
barrier,yes
barrier,bollard
barrier,chain
barrier,rope
barrier,jersey_barrier
barrier,tyres
barrier,kerb
barrier,log
barrier,tank_trap
barrier,user_defined
waterway,*
man_made,*
building,*
amenity,*
leisure,bandstand
leisure,bird_hide
leisure,bleachers
leisure,firepit
leisure,garden
leisure,golf_course
leisure,horse_riding
leisure,ice_rink
leisure,marina
leisure,miniature_golf
leisure,outdoor_seating
leisure,picnic_table
leisure,pitch
leisure,playground
leisure,sauna
leisure,sports_centre
leisure,sports_hall
leisure,stadium
leisure,swimming_pool
leisure,swimming_area
leisure,water_park
leisure,wildlife_hide
historic,*
natural,tree
natural,geyser
natural,hot_spring
natural,spring
natural,fumarole
natural,rock
natural,sinkhole
natural,stone
natural,volcano
tourism,artwork
tourism,aquarium
information,board
information,terminal
information,map
information,tactile_map
information,tactile_model
information,guidepost
